교육 주제,No,난이도,단계,상태,선행 학습,소요시간(분),중요도,학습 목표
[1회차] 컨설팅 개요: 산업 구조와 프로젝트 라이프사이클,1,초급,Overview,완료,,20,낮음 (Low),컨설팅 산업 구조와 프로젝트 라이프사이클 이해
[2회차] ASSESS: As-Is 분석과 이슈 도출,2,중급,ASSESS,완료,[1회차] 컨설팅 개요: 산업 구조와 프로젝트 라이프사이클 (%EC%BB%A8%EC%84%A4%ED%8C%85%ED%8E%8C%20%EC%A7%81%ED%8A%B9/%5B1%ED%9A%8C%EC%B0%A8%5D%20%EC%BB%A8%EC%84%A4%ED%8C%85%20%EA%B0%9C%EC%9A%94%20%EC%82%B0%EC%97%85%20%EA%B5%AC%EC%A1%B0%EC%99%80%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%9D%BC%EC%9D%B4%ED%94%84%EC%82%AC%EC%9D%B4%ED%81%B4%201cba38087d154212a68b70a49da58926.csv),25,높음 (High),As-Is 분석 방법론과 이슈 도출 기법 습득
[4회차] DESIGN: 프로세스 혁신과 To-Be 설계,4,중급,DESIGN,완료,[3회차] ENVISION: 개선 기회 도출과 To-Be 방향 수립 (%EC%BB%A8%EC%84%A4%ED%8C%85%ED%8E%8C%20%EC%A7%81%ED%8A%B9/%5B3%ED%9A%8C%EC%B0%A8%5D%20ENVISION%20%EA%B0%9C%EC%84%A0%20%EA%B8%B0%ED%9A%8C%20%EB%8F%84%EC%B6%9C%EA%B3%BC%20To-Be%20%EB%B0%A9%ED%96%A5%20%EC%88%98%EB%A6%BD%20e842f1d05b604649a6ea720c50ab948a.csv),40,높음 (High),"To-Be 프로세스 설계 방법론 및 변화관리 역량 확보, PI/BPR 개념 비교"
[5회차] BUILD 단계: ERP 구축과 시스템 구현,5,고급,BUILD,완료,[4회차] DESIGN: 프로세스 혁신과 To-Be 설계 (%EC%BB%A8%EC%84%A4%ED%8C%85%ED%8E%8C%20%EC%A7%81%ED%8A%B9/%5B4%ED%9A%8C%EC%B0%A8%5D%20DESIGN%20%ED%94%84%EB%A1%9C%EC%84%B8%EC%8A%A4%20%ED%98%81%EC%8B%A0%EA%B3%BC%20To-Be%20%EC%84%A4%EA%B3%84%20f7fcd6749b844523aeff042e5d30e5d5.csv),25,낮음 (Low),Fit-Gap 분석 수행 및 ERP 시스템 구현 역량 확보
[7회차] 컨설턴트 역량과 커리어 패스,7,초급,Wrap-up,완료,[1회차] 컨설팅 개요: 산업 구조와 프로젝트 라이프사이클 (%EC%BB%A8%EC%84%A4%ED%8C%85%ED%8E%8C%20%EC%A7%81%ED%8A%B9/%5B1%ED%9A%8C%EC%B0%A8%5D%20%EC%BB%A8%EC%84%A4%ED%8C%85%20%EA%B0%9C%EC%9A%94%20%EC%82%B0%EC%97%85%20%EA%B5%AC%EC%A1%B0%EC%99%80%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%9D%BC%EC%9D%B4%ED%94%84%EC%82%AC%EC%9D%B4%ED%81%B4%201cba38087d154212a68b70a49da58926.csv),35,중간 (Medium),"컨설턴트 핵심 역량(5C), PI 협업론 및 유형별 대응 전략, 커리어 경로 이해"
[3회차] ENVISION: 개선 기회 도출과 To-Be 방향 수립,3,중급,ENVISION,완료,[2회차] ASSESS: As-Is 분석과 이슈 도출 (%EC%BB%A8%EC%84%A4%ED%8C%85%ED%8E%8C%20%EC%A7%81%ED%8A%B9/%5B2%ED%9A%8C%EC%B0%A8%5D%20ASSESS%20As-Is%20%EB%B6%84%EC%84%9D%EA%B3%BC%20%EC%9D%B4%EC%8A%88%20%EB%8F%84%EC%B6%9C%2093059a39ba154640aa8d0a4178e965fc.csv),20,높음 (High),개선 기회 도출과 To-Be 방향 수립 역량 확보
[9회차] Interview Prep: 컨설팅펌 면접 준비 가이드,9,중급,Interview Prep,완료,[7회차] 컨설턴트 역량과 커리어 패스 (%EC%BB%A8%EC%84%A4%ED%8C%85%ED%8E%8C%20%EC%A7%81%ED%8A%B9/%5B7%ED%9A%8C%EC%B0%A8%5D%20%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8%20%EC%97%AD%EB%9F%89%EA%B3%BC%20%EC%BB%A4%EB%A6%AC%EC%96%B4%20%ED%8C%A8%EC%8A%A4%2023fcdb3ddfa04804befd967dd638e050.csv),30,낮음 (Low),컨설팅펌 면접 프로세스 및 케이스 인터뷰 준비 전략 수립
[6회차] DEPLOY: Go-Live 실행과 운영 안정화,6,고급,DEPLOY,완료,[5회차] BUILD 단계: ERP 구축과 시스템 구현 (%EC%BB%A8%EC%84%A4%ED%8C%85%ED%8E%8C%20%EC%A7%81%ED%8A%B9/%5B5%ED%9A%8C%EC%B0%A8%5D%20BUILD%20%EB%8B%A8%EA%B3%84%20ERP%20%EA%B5%AC%EC%B6%95%EA%B3%BC%20%EC%8B%9C%EC%8A%A4%ED%85%9C%20%EA%B5%AC%ED%98%84%200ad6e8f1bc7543699cacbe1cafb78bba.csv),25,낮음 (Low),Go-Live 실행 계획 수립 및 운영 안정화 전략 이해
[참고] 케이스 인터뷰 자료집,10,중급,Interview Prep,완료,[9회차] Interview Prep: 컨설팅펌 면접 준비 가이드 (%EC%BB%A8%EC%84%A4%ED%8C%85%ED%8E%8C%20%EC%A7%81%ED%8A%B9/%5B9%ED%9A%8C%EC%B0%A8%5D%20Interview%20Prep%20%EC%BB%A8%EC%84%A4%ED%8C%85%ED%8E%8C%20%EB%A9%B4%EC%A0%91%20%EC%A4%80%EB%B9%84%20%EA%B0%80%EC%9D%B4%EB%93%9C%203c646b9f2c6248d8b1187e8c28504738.csv),,낮음 (Low),컨설팅펌 케이스 인터뷰 유형별 문제 풀이 및 산업 지식 습득
[8회차] 컨설팅펌 취업 실전 전략,8,초급,Interview Prep,완료,[7회차] 컨설턴트 역량과 커리어 패스 (%EC%BB%A8%EC%84%A4%ED%8C%85%ED%8E%8C%20%EC%A7%81%ED%8A%B9/%5B7%ED%9A%8C%EC%B0%A8%5D%20%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8%20%EC%97%AD%EB%9F%89%EA%B3%BC%20%EC%BB%A4%EB%A6%AC%EC%96%B4%20%ED%8C%A8%EC%8A%A4%2023fcdb3ddfa04804befd967dd638e050.csv),30,낮음 (Low),컨설팅 취업을 위한 실전 준비 전략 수립 및 자기소개서/면접 대비
